{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.8451078, 'test gap-rms-gender': 0.079952374, 'test gap-rms-race': 0.019592501, 'test bal-acc': 0.76124024}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8506357, 'test gap-rms-gender': 0.09548111, 'test gap-rms-race': 0.03096766, 'test bal-acc': 0.7684419}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 80.0, 'test-acc': 0.75765616, 'test gap-rms-gender': 0.0077953204, 'test gap-rms-race': 0.0024798336, 'test bal-acc': 0.5015916}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 80.0, 'test-acc': 0.8384743, 'test gap-rms-gender': 0.04928993, 'test gap-rms-race': 0.0112147555, 'test bal-acc': 0.691572}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 80.0, 'test-acc': 0.79226094, 'test gap-rms-gender': 0.10865489, 'test gap-rms-race': 0.011062639, 'test bal-acc': 0.5783166}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.85085684, 'test gap-rms-gender': 0.04009578, 'test gap-rms-race': 0.029720793, 'test bal-acc': 0.75963616}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.8391377, 'test gap-rms-gender': 0.04734451, 'test gap-rms-race': 0.02108989, 'test bal-acc': 0.7528205}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 80.0, 'test-acc': 0.7965727, 'test gap-rms-gender': 0.1186704, 'test gap-rms-race': 0.05121782, 'test bal-acc': 0.80341566}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.825539, 'test gap-rms-gender': 0.013274294, 'test gap-rms-race': 0.006209727, 'test bal-acc': 0.65678895}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.83692646, 'test gap-rms-gender': 0.024898946, 'test gap-rms-race': 0.022809887, 'test bal-acc': 0.6836042}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.8315091, 'test gap-rms-gender': 0.07395589, 'test gap-rms-race': 0.011150795, 'test bal-acc': 0.68712515}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.8235489, 'test gap-rms-gender': 0.052131157, 'test gap-rms-race': 0.011253985, 'test bal-acc': 0.64791167}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.83416253, 'test gap-rms-gender': 0.016311338, 'test gap-rms-race': 0.008685517, 'test bal-acc': 0.68347603}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.75876176, 'test gap-rms-gender': 0.024888847, 'test gap-rms-race': 0.002184906, 'test bal-acc': 0.5038654}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.7531233, 'test gap-rms-gender': 0.3144798, 'test gap-rms-race': 0.0430586, 'test bal-acc': 0.5256068}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8143726, 'test gap-rms-gender': 0.11383931, 'test gap-rms-race': 0.058875922, 'test bal-acc': 0.80622256}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8244334, 'test gap-rms-gender': 0.015003447, 'test gap-rms-race': 0.012720387, 'test bal-acc': 0.6611519}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.8200111, 'test gap-rms-gender': 0.052579336, 'test gap-rms-race': 0.0073613813, 'test bal-acc': 0.6465005}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.7495854, 'test gap-rms-gender': 0.5066568, 'test gap-rms-race': 0.035407946, 'test bal-acc': 0.5458034}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8403538, 'test gap-rms-gender': 0.040365294, 'test gap-rms-race': 0.025169155, 'test bal-acc': 0.74791324}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.7666114, 'test gap-rms-gender': 0.046607394, 'test gap-rms-race': 0.0099819265, 'test bal-acc': 0.5204721}
