{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.94978976, 'test gap-rms-sextuality': 0.03753009, 'test gap-rms-gender-identity': 0.10757718, 'test gap-rms-religion': 0.30905595, 'test gap-rms-race': 0.059858873, 'test bal-acc': 0.824521, 'fpr': 0.33038055896759033, 'fnr': 0.020577418, 'fpr-sextuality': 0.3055555820465088, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.476190447807312, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.760000005364418, 'fnr-religion': 0.005076142, 'fpr-race': 0.41059601306915283, 'fnr-race': 0.026850509}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.9559405, 'test gap-rms-sextuality': 0.030070012, 'test gap-rms-gender-identity': 0.10479689, 'test gap-rms-religion': 0.13066621, 'test gap-rms-race': 0.058854725, 'test bal-acc': 0.8333492, 'fpr': 0.3182414770126343, 'fnr': 0.015060032, 'fpr-sextuality': 0.2916666865348816, 'fnr-sextuality': 0.046875, 'fpr-gender-identity': 0.4603174328804016, 'fnr-gender-identity': 0.0142063005, 'fpr-religion': 0.5, 'fnr-religion': 0.015228426, 'fpr-race': 0.3973509669303894, 'fnr-race': 0.015239477}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 20.0, 'test-acc': 0.9417561, 'test gap-rms-sextuality': 0.06676822, 'test gap-rms-gender-identity': 0.12032058, 'test gap-rms-religion': 0.22347423, 'test gap-rms-race': 0.07554834, 'test bal-acc': 0.8384158, 'fpr': 0.289370059967041, 'fnr': 0.033798322, 'fpr-sextuality': 0.2569444179534912, 'fnr-sextuality': 0.12109375, 'fpr-gender-identity': 0.4523809552192688, 'fnr-gender-identity': 0.027794935, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.021996615, 'fpr-race': 0.3907284736633301, 'fnr-race': 0.027576197}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.9542773, 'test gap-rms-sextuality': 0.05312597, 'test gap-rms-gender-identity': 0.11222836, 'test gap-rms-religion': 0.15862854, 'test gap-rms-race': 0.06741903, 'test bal-acc': 0.8049983, 'fpr': 0.3795931935310364, 'fnr': 0.010410161, 'fpr-sextuality': 0.3194444179534912, 'fnr-sextuality': 0.05078125, 'fpr-gender-identity': 0.5317460298538208, 'fnr-gender-identity': 0.009882644, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.0, 'fpr-race': 0.47019869089126587, 'fnr-race': 0.008708273}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.9414423, 'test gap-rms-sextuality': 0.057682026, 'test gap-rms-gender-identity': 0.11282635, 'test gap-rms-religion': 0.15315197, 'test gap-rms-race': 0.081665106, 'test bal-acc': 0.847924, 'fpr': 0.26771652698516846, 'fnr': 0.03643556, 'fpr-sextuality': 0.2638888955116272, 'fnr-sextuality': 0.1171875, 'fpr-gender-identity': 0.420634925365448, 'fnr-gender-identity': 0.032736257, 'fpr-religion': 0.48000001907348633, 'fnr-religion': 0.01861252, 'fpr-race': 0.37748342752456665, 'fnr-race': 0.035558783}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.9141091, 'test gap-rms-sextuality': 0.013397319, 'test gap-rms-gender-identity': 0.04962037, 'test gap-rms-religion': 0.048135675, 'test gap-rms-race': 0.01404572, 'test bal-acc': 0.5532174, 'fpr': 0.8930446207523346, 'fnr': 0.00052050804, 'fpr-sextuality': 0.875, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.9603174589574337, 'fnr-gender-identity': 0.00061766524, 'fpr-religion': 0.9600000008940697, 'fnr-religion': 0.0, 'fpr-race': 0.874172180891037, 'fnr-race': 0.0}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.95201784, 'test gap-rms-sextuality': 0.07188863, 'test gap-rms-gender-identity': 0.0992681, 'test gap-rms-religion': 0.1595146, 'test gap-rms-race': 0.059295576, 'test bal-acc': 0.84907687, 'fpr': 0.278215229511261, 'fnr': 0.023631064, 'fpr-sextuality': 0.1944444179534912, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.4126983880996704, 'fnr-gender-identity': 0.018529957, 'fpr-religion': 0.5, 'fnr-religion': 0.016920473, 'fpr-race': 0.3576158881187439, 'fnr-race': 0.016690856}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.9459298, 'test gap-rms-sextuality': 0.073927686, 'test gap-rms-gender-identity': 0.121930666, 'test gap-rms-religion': 0.188263, 'test gap-rms-race': 0.06334858, 'test bal-acc': 0.79202175, 'fpr': 0.39829397201538086, 'fnr': 0.017662572, 'fpr-sextuality': 0.3125, 'fnr-sextuality': 0.0703125, 'fpr-gender-identity': 0.5634920597076416, 'fnr-gender-identity': 0.01173564, 'fpr-religion': 0.6599999964237213, 'fnr-religion': 0.027072757, 'fpr-race': 0.4834437370300293, 'fnr-race': 0.017416546}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.09565054, 'test gap-rms-sextuality': 0.0, 'test gap-rms-gender-identity': 0.0, 'test gap-rms-religion': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5, 'fpr': 0.0, 'fnr': 1.0, 'fpr-sextuality': 0.0, 'fnr-sextuality': 1.0, 'fpr-gender-identity': 0.0, 'fnr-gender-identity': 1.0, 'fpr-religion': 0.0, 'fnr-religion': 1.0, 'fpr-race': 0.0, 'fnr-race': 1.0}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.95493627, 'test gap-rms-sextuality': 0.067798354, 'test gap-rms-gender-identity': 0.12193, 'test gap-rms-religion': 0.1733557, 'test gap-rms-race': 0.083148465, 'test bal-acc': 0.83250064, 'fpr': 0.31889766454696655, 'fnr': 0.016101047, 'fpr-sextuality': 0.2569444179534912, 'fnr-sextuality': 0.0859375, 'fpr-gender-identity': 0.4841269850730896, 'fnr-gender-identity': 0.011117974, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.011844331, 'fpr-race': 0.4304635524749756, 'fnr-race': 0.009433962}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.94332516, 'test gap-rms-sextuality': 0.08352249, 'test gap-rms-gender-identity': 0.12354398, 'test gap-rms-religion': 0.18641026, 'test gap-rms-race': 0.057087455, 'test bal-acc': 0.8341491, 'fpr': 0.30085301399230957, 'fnr': 0.030848775, 'fpr-sextuality': 0.2291666865348816, 'fnr-sextuality': 0.12109375, 'fpr-gender-identity': 0.4682539701461792, 'fnr-gender-identity': 0.025324274, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.021996615, 'fpr-race': 0.37748342752456665, 'fnr-race': 0.026850509}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.94671434, 'test gap-rms-sextuality': 0.060358472, 'test gap-rms-gender-identity': 0.13754793, 'test gap-rms-religion': 0.22346762, 'test gap-rms-race': 0.050747808, 'test bal-acc': 0.8232608, 'fpr': 0.3293963074684143, 'fnr': 0.02408217, 'fpr-sextuality': 0.2638888955116272, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.5158730149269104, 'fnr-gender-identity': 0.022853613, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.011844331, 'fpr-race': 0.3973509669303894, 'fnr-race': 0.018142235}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.95493627, 'test gap-rms-sextuality': 0.06051378, 'test gap-rms-gender-identity': 0.1350797, 'test gap-rms-religion': 0.1834797, 'test gap-rms-race': 0.118072, 'test bal-acc': 0.8298602, 'fpr': 0.3248031735420227, 'fnr': 0.015476438, 'fpr-sextuality': 0.2569444179534912, 'fnr-sextuality': 0.0625, 'fpr-gender-identity': 0.5079365074634552, 'fnr-gender-identity': 0.014823966, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.011844331, 'fpr-race': 0.4834437370300293, 'fnr-race': 0.010885341}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.9496956, 'test gap-rms-sextuality': 0.11272591, 'test gap-rms-gender-identity': 0.092530854, 'test gap-rms-religion': 0.19634442, 'test gap-rms-race': 0.08699756, 'test bal-acc': 0.84368557, 'fpr': 0.28740155696868896, 'fnr': 0.025227288, 'fpr-sextuality': 0.1666666865348816, 'fnr-sextuality': 0.12109375, 'fpr-gender-identity': 0.4126983880996704, 'fnr-gender-identity': 0.019147621, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.008460237, 'fpr-race': 0.4039735198020935, 'fnr-race': 0.015965167}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.9373941, 'test gap-rms-sextuality': 0.057667237, 'test gap-rms-gender-identity': 0.082395054, 'test gap-rms-religion': 0.16588609, 'test gap-rms-race': 0.040715933, 'test bal-acc': 0.844659, 'fpr': 0.27001309394836426, 'fnr': 0.040669028, 'fpr-sextuality': 0.2777777910232544, 'fnr-sextuality': 0.12109375, 'fpr-gender-identity': 0.3809523582458496, 'fnr-gender-identity': 0.027794935, 'fpr-religion': 0.5, 'fnr-religion': 0.021996615, 'fpr-race': 0.3245033025741577, 'fnr-race': 0.035558783}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.94702816, 'test gap-rms-sextuality': 0.057116795, 'test gap-rms-gender-identity': 0.13045143, 'test gap-rms-religion': 0.24232164, 'test gap-rms-race': 0.0798666, 'test bal-acc': 0.8262214, 'fpr': 0.3231627345085144, 'fnr': 0.024394475, 'fpr-sextuality': 0.2847222089767456, 'fnr-sextuality': 0.09375, 'fpr-gender-identity': 0.5, 'fnr-gender-identity': 0.021618282, 'fpr-religion': 0.6599999964237213, 'fnr-religion': 0.011844331, 'fpr-race': 0.4304635524749756, 'fnr-race': 0.021044992}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.9456474, 'test gap-rms-sextuality': 0.09377578, 'test gap-rms-gender-identity': 0.11313838, 'test gap-rms-religion': 0.22801594, 'test gap-rms-race': 0.026093058, 'test bal-acc': 0.8256047, 'fpr': 0.32283467054367065, 'fnr': 0.025956, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.10546875, 'fpr-gender-identity': 0.476190447807312, 'fnr-gender-identity': 0.029030265, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.023688663, 'fpr-race': 0.3576158881187439, 'fnr-race': 0.030478954}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.9490366, 'test gap-rms-sextuality': 0.06353955, 'test gap-rms-gender-identity': 0.1232208, 'test gap-rms-religion': 0.16035146, 'test gap-rms-race': 0.069623634, 'test bal-acc': 0.81222254, 'fpr': 0.3569554090499878, 'fnr': 0.018599486, 'fpr-sextuality': 0.2847222089767456, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.5238095223903656, 'fnr-gender-identity': 0.010500309, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.020304568, 'fpr-race': 0.4503311514854431, 'fnr-race': 0.01233672}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.94527084, 'test gap-rms-sextuality': 0.12252119, 'test gap-rms-gender-identity': 0.110744186, 'test gap-rms-religion': 0.17689209, 'test gap-rms-race': 0.010172414, 'test bal-acc': 0.82040894, 'fpr': 0.3339895009994507, 'fnr': 0.025192589, 'fpr-sextuality': 0.2152777910232544, 'fnr-sextuality': 0.14453125, 'fpr-gender-identity': 0.4841269850730896, 'fnr-gender-identity': 0.024088943, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.020304568, 'fpr-race': 0.34437084197998047, 'fnr-race': 0.034107402}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 20.0, 'test-acc': 0.94702816, 'test gap-rms-sextuality': 0.06721701, 'test gap-rms-gender-identity': 0.12474739, 'test gap-rms-religion': 0.18794854, 'test gap-rms-race': 0.09288789, 'test bal-acc': 0.80143046, 'fpr': 0.37860894203186035, 'fnr': 0.018530086, 'fpr-sextuality': 0.3055555820465088, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.5476190447807312, 'fnr-gender-identity': 0.012353305, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.013536379, 'fpr-race': 0.5033112466335297, 'fnr-race': 0.01233672}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.94762444, 'test gap-rms-sextuality': 0.07904442, 'test gap-rms-gender-identity': 0.14422347, 'test gap-rms-religion': 0.22779918, 'test gap-rms-race': 0.09881853, 'test bal-acc': 0.7639137, 'fpr': 0.46325457096099854, 'fnr': 0.008918038, 'fpr-sextuality': 0.3680555820465088, 'fnr-sextuality': 0.05859375, 'fpr-gender-identity': 0.658730149269104, 'fnr-gender-identity': 0.0043236567, 'fpr-religion': 0.7800000011920929, 'fnr-religion': 0.0, 'fpr-race': 0.5960264801979065, 'fnr-race': 0.005079826}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.95434004, 'test gap-rms-sextuality': 0.025196917, 'test gap-rms-gender-identity': 0.08372261, 'test gap-rms-religion': 0.15874544, 'test gap-rms-race': 0.073019005, 'test bal-acc': 0.84097254, 'fpr': 0.29921257495880127, 'fnr': 0.01884239, 'fpr-sextuality': 0.2847222089767456, 'fnr-sextuality': 0.05078125, 'fpr-gender-identity': 0.4126983880996704, 'fnr-gender-identity': 0.01667696, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.015228426, 'fpr-race': 0.3973509669303894, 'fnr-race': 0.017416546}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.9506998, 'test gap-rms-sextuality': 0.07064971, 'test gap-rms-gender-identity': 0.10436519, 'test gap-rms-religion': 0.15894847, 'test gap-rms-race': 0.06819346, 'test bal-acc': 0.8479081, 'fpr': 0.279199481010437, 'fnr': 0.024984384, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.08203125, 'fpr-gender-identity': 0.420634925365448, 'fnr-gender-identity': 0.021000618, 'fpr-religion': 0.5, 'fnr-religion': 0.013536379, 'fpr-race': 0.3708609342575073, 'fnr-race': 0.02539913}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 20.0, 'test-acc': 0.954497, 'test gap-rms-sextuality': 0.06456003, 'test gap-rms-gender-identity': 0.103175424, 'test gap-rms-religion': 0.18083422, 'test gap-rms-race': 0.061363775, 'test bal-acc': 0.8457534, 'fpr': 0.2887139320373535, 'fnr': 0.019779304, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.4285714030265808, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.5399999916553497, 'fnr-religion': 0.008460237, 'fpr-race': 0.3708609342575073, 'fnr-race': 0.01233672}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.93915147, 'test gap-rms-sextuality': 0.05886484, 'test gap-rms-gender-identity': 0.07571955, 'test gap-rms-religion': 0.2281698, 'test gap-rms-race': 0.046038527, 'test bal-acc': 0.84885776, 'fpr': 0.26279526948928833, 'fnr': 0.03948921, 'fpr-sextuality': 0.2361111044883728, 'fnr-sextuality': 0.1171875, 'fpr-gender-identity': 0.3650793433189392, 'fnr-gender-identity': 0.030883262, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.028764805, 'fpr-race': 0.3245033025741577, 'fnr-race': 0.034833092}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.9540262, 'test gap-rms-sextuality': 0.05745205, 'test gap-rms-gender-identity': 0.12445038, 'test gap-rms-religion': 0.3886389, 'test gap-rms-race': 0.087567136, 'test bal-acc': 0.84065235, 'fpr': 0.2995406985282898, 'fnr': 0.019154696, 'fpr-sextuality': 0.2430555820465088, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.4682539701461792, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.8400000035762787, 'fnr-religion': 0.0067681894, 'fpr-race': 0.41721856594085693, 'fnr-race': 0.016690856}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.9438587, 'test gap-rms-sextuality': 0.074731916, 'test gap-rms-gender-identity': 0.12736985, 'test gap-rms-religion': 0.1944541, 'test gap-rms-race': 0.034584578, 'test bal-acc': 0.72325176, 'fpr': 0.5495406687259674, 'fnr': 0.003955861, 'fpr-sextuality': 0.4513888955116272, 'fnr-sextuality': 0.02734375, 'fpr-gender-identity': 0.7222222089767456, 'fnr-gender-identity': 0.0043236567, 'fpr-religion': 0.8199999928474426, 'fnr-religion': 0.0, 'fpr-race': 0.5960264801979065, 'fnr-race': 0.003628447}
