{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 10.0, 'test-acc': 0.81846327, 'test gap-rms-gender': 0.08633168, 'test gap-rms-race': 0.047061127, 'test bal-acc': 0.8200374}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 10.0, 'test-acc': 0.8168049, 'test gap-rms-gender': 0.12596437, 'test gap-rms-race': 0.06468289, 'test bal-acc': 0.828048}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 10.0, 'test-acc': 0.840796, 'test gap-rms-gender': 0.07772942, 'test gap-rms-race': 0.04666149, 'test bal-acc': 0.8043854}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 10.0, 'test-acc': 0.8164732, 'test gap-rms-gender': 0.109486796, 'test gap-rms-race': 0.060077667, 'test bal-acc': 0.8262855}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 10.0, 'test-acc': 0.8148148, 'test gap-rms-gender': 0.08806094, 'test gap-rms-race': 0.05124993, 'test bal-acc': 0.81839895}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 10.0, 'test-acc': 0.8187949, 'test gap-rms-gender': 0.10289243, 'test gap-rms-race': 0.056676384, 'test bal-acc': 0.82643014}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 10.0, 'test-acc': 0.85240465, 'test gap-rms-gender': 0.06014556, 'test gap-rms-race': 0.04037833, 'test bal-acc': 0.7868966}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 10.0, 'test-acc': 0.8203427, 'test gap-rms-gender': 0.08467809, 'test gap-rms-race': 0.048522353, 'test bal-acc': 0.81865525}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 10.0, 'test-acc': 0.8220011, 'test gap-rms-gender': 0.11038681, 'test gap-rms-race': 0.059141707, 'test bal-acc': 0.8242266}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 10.0, 'test-acc': 0.8143726, 'test gap-rms-gender': 0.09106198, 'test gap-rms-race': 0.053179078, 'test bal-acc': 0.81934154}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 10.0, 'test-acc': 0.83571035, 'test gap-rms-gender': 0.0862349, 'test gap-rms-race': 0.05204993, 'test bal-acc': 0.8102863}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 10.0, 'test-acc': 0.8241017, 'test gap-rms-gender': 0.1568949, 'test gap-rms-race': 0.06674367, 'test bal-acc': 0.82854676}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.8517413, 'test gap-rms-gender': 0.061854918, 'test gap-rms-race': 0.05689679, 'test bal-acc': 0.7884648}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 10.0, 'test-acc': 0.82609177, 'test gap-rms-gender': 0.15821078, 'test gap-rms-race': 0.066130854, 'test bal-acc': 0.82708323}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.8056385, 'test gap-rms-gender': 0.0834822, 'test gap-rms-race': 0.05497187, 'test bal-acc': 0.8111023}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 10.0, 'test-acc': 0.85240465, 'test gap-rms-gender': 0.086359285, 'test gap-rms-race': 0.045375045, 'test bal-acc': 0.7836554}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.8193477, 'test gap-rms-gender': 0.08630695, 'test gap-rms-race': 0.04671211, 'test bal-acc': 0.8065767}
