{'alpha': 0.5, 'beta': 0.3, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.7478164731896075, 'balanced accuracy': 0.7147183465992628, 'gap-rms-gender': 0.0944663681639548, 'gap-rms-race': 0.04359436032706427}
{'alpha': 0.0, 'beta': 0.3, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 3.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.2435599778883361, 'balanced accuracy': 0.5002921413964359, 'gap-rms-gender': 0.00024137783503463625, 'gap-rms-race': 0.0004892626059066394}
{'alpha': 0.5, 'beta': 0.3, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.8024322830292979, 'balanced accuracy': 0.7670035858064717, 'gap-rms-gender': 0.1543530322179321, 'gap-rms-race': 0.06004179650720225}
{'alpha': 0.5, 'beta': 0.01, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.7416252072968491, 'balanced accuracy': 0.7300752991460144, 'gap-rms-gender': 0.1143161371498496, 'gap-rms-race': 0.06088095149981592}
{'alpha': 0.5, 'beta': 1.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.8023217247097844, 'balanced accuracy': 0.7772713794294993, 'gap-rms-gender': 0.17378739444165633, 'gap-rms-race': 0.07344910862414873}
{'alpha': 0.0, 'beta': 1.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 100.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.03, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.32371475953565504, 'balanced accuracy': 0.5523167251148737, 'gap-rms-gender': 0.05159116911006028, 'gap-rms-race': 0.017673198591677472}
{'alpha': 0.5, 'beta': 10.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 100.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.1, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.3189607517965727, 'balanced accuracy': 0.5493305458341156, 'gap-rms-gender': 0.050037330254605855, 'gap-rms-race': 0.01702710042204413}
{'alpha': 0.5, 'beta': 10.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 10.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 100.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.3, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24665561083471532, 'balanced accuracy': 0.502337131171487, 'gap-rms-gender': 0.0015460370959398358, 'gap-rms-race': 0.003914100847252959}
